Designator,Mid X,Mid Y,Rotation,Layer
C78,170.0,-136.0,315.0,top
C79,90.0,-79.5,90.0,top
C8,92.9875,-94.0125,270.0,top
C9,88.4875,-94.0125,270.0,top
CARD2,194.44,-65.97,180.0,top
CN1,100.044,-149.85,180.0,top
CN2,73.5,-126.6,90.0,top
CN4,73.5,-109.556,90.0,top
CN5,126.5,-109.512,270.0,top
CN6,126.5,-126.556,270.0,top
D1,190.0,-141.25,270.0,top
D2,111.0,-104.5,270.0,top
D3,166.25,-113.0,90.0,top
D4,166.25,-120.5,270.0,top
D5,213.75,-116.3,90.0,top
D6,213.75,-123.8,270.0,top
GPS,163.5,-105.0,270.0,top
J10,86.3687308359528,-60.61318025679621,340.0,top
